Q1,Tsp1,T1,err
0.0,20.95,20.95,0.0
79.95,48.0,39.0,9.0
44.43,48.0,48.02,-0.020000000000003126
44.53,48.0,48.02,-0.020000000000003126
44.97,48.0,48.02,-0.020000000000003126
45.02,48.0,48.02,-0.020000000000003126
45.09,48.0,48.02,-0.020000000000003126
45.07,48.0,48.02,-0.020000000000003126
45.01,48.0,48.02,-0.020000000000003126
45.08,48.0,48.02,-0.020000000000003126
45.05,48.0,48.02,-0.020000000000003126
45.0,48.0,48.02,-0.020000000000003126
12.01,42.0,45.44,-3.4399999999999977
38.29,42.0,40.93,1.0700000000000003
35.75,42.0,41.9,0.10000000000000142
34.02,42.0,42.22,-0.21999999999999886
33.87,42.0,42.22,-0.21999999999999886
34.13,42.0,42.22,-0.21999999999999886
100.0,66.0,46.09,19.909999999999997
84.44,66.0,62.53,3.469999999999999
75.21,66.0,65.75,0.25
74.55,66.0,66.07,-0.06999999999999318
18.13,51.0,57.05,-6.049999999999997
52.7,51.0,50.28,0.7199999999999989
51.1,51.0,50.92,0.0799999999999983
50.8,51.0,50.92,0.0799999999999983
50.89,51.0,50.92,0.0799999999999983
7.24,35.0,39.97,-4.969999999999999
23.96,35.0,35.13,-0.13000000000000256
25.02,35.0,34.81,0.18999999999999773
22.87,35.0,35.13,-0.13000000000000256
22.85,35.0,35.13,-0.13000000000000256
46.68,48.0,49.31,-1.3100000000000023
43.76,48.0,48.34,-0.3400000000000034
45.21,48.0,48.02,-0.020000000000003126
45.05,48.0,48.02,-0.020000000000003126
45.08,48.0,48.02,-0.020000000000003126
9.48,35.0,39.0,-4.0
23.55,35.0,35.13,-0.13000000000000256
24.85,35.0,34.81,0.18999999999999773
24.73,35.0,34.81,0.18999999999999773
22.86,35.0,35.13,-0.13000000000000256
100.0,65.0,35.78,29.22
92.57,65.0,57.05,7.950000000000003
75.54,65.0,64.14,0.8599999999999994
74.4,65.0,64.78,0.21999999999999886
0.0,39.0,62.2,-23.200000000000003
18.06,39.0,43.19,-4.189999999999998
30.19,39.0,39.32,-0.3200000000000003
30.79,39.0,39.0,0.0
30.58,39.0,39.0,0.0
30.41,39.0,39.0,0.0
100.0,64.0,45.44,18.560000000000002
78.14,64.0,61.56,2.4399999999999977
