i_values,Tsp_values,T1_values,Qlstm_values
1900-01-01 10:33:48,20.949499999999997,20.949499999999997,10.0
1900-01-01 10:33:50,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:33:52,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:33:53,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:33:54,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:33:55,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:33:56,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:33:57,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:33:57,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:02,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:05,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:08,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:10,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:12,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:14,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:17,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:18,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:20,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:22,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:23,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:25,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:26,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:26,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:27,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:28,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:28,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:29,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:29,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:30,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:30,20.949499999999997,26.750899999999998,10.0
1900-01-01 10:34:30,40.0,26.750899999999998,10.0
1900-01-01 10:34:31,40.0,26.750899999999998,10.0
1900-01-01 10:34:31,40.0,26.750899999999998,10.0
1900-01-01 10:34:32,40.0,26.750899999999998,10.0
1900-01-01 10:34:32,40.0,26.750899999999998,10.0
1900-01-01 10:34:33,40.0,26.750899999999998,10.0
1900-01-01 10:34:33,40.0,26.750899999999998,10.0
1900-01-01 10:34:34,40.0,26.750899999999998,10.0
1900-01-01 10:34:34,40.0,26.750899999999998,10.0
1900-01-01 10:34:35,40.0,26.750899999999998,10.0
1900-01-01 10:34:35,40.0,26.750899999999998,10.0
1900-01-01 10:34:36,40.0,26.750899999999998,10.0
1900-01-01 10:34:36,40.0,26.750899999999998,10.0
1900-01-01 10:34:37,40.0,26.750899999999998,10.0
1900-01-01 10:34:37,40.0,26.750899999999998,10.0
1900-01-01 10:34:37,40.0,26.750899999999998,10.0
1900-01-01 10:34:38,40.0,26.750899999999998,10.0
1900-01-01 10:34:39,40.0,26.750899999999998,10.0
1900-01-01 10:34:39,40.0,26.750899999999998,10.0
1900-01-01 10:34:40,40.0,26.750899999999998,10.0
1900-01-01 10:34:40,40.0,26.750899999999998,10.0
1900-01-01 10:34:41,40.0,26.750899999999998,10.0
1900-01-01 10:34:41,40.0,26.750899999999998,10.0
1900-01-01 10:34:43,40.0,26.750899999999998,10.0
1900-01-01 10:34:43,40.0,26.750899999999998,10.0
1900-01-01 10:34:44,40.0,26.750899999999998,10.0
1900-01-01 10:34:45,40.0,26.750899999999998,10.0
1900-01-01 10:34:45,40.0,26.750899999999998,10.0
1900-01-01 10:34:46,40.0,26.750899999999998,10.0
1900-01-01 10:34:46,40.0,26.750899999999998,10.0
1900-01-01 10:34:47,40.0,26.750899999999998,10.0
1900-01-01 10:34:48,40.0,26.750899999999998,10.0
1900-01-01 10:34:49,40.0,26.750899999999998,10.0
1900-01-01 10:34:49,40.0,26.750899999999998,10.0
1900-01-01 10:34:50,40.0,26.750899999999998,10.0
1900-01-01 10:34:50,40.0,26.750899999999998,10.0
1900-01-01 10:34:51,40.0,26.750899999999998,10.0
1900-01-01 10:34:51,40.0,26.750899999999998,10.0
1900-01-01 10:34:52,40.0,26.750899999999998,10.0
1900-01-01 10:34:52,40.0,27.073199999999996,10.0
1900-01-01 10:34:52,40.0,26.750899999999998,10.0
1900-01-01 10:34:54,40.0,26.750899999999998,10.0
1900-01-01 10:34:54,40.0,26.750899999999998,10.0
1900-01-01 10:34:55,40.0,26.750899999999998,10.0
1900-01-01 10:34:55,40.0,26.750899999999998,10.0
1900-01-01 10:34:56,40.0,26.750899999999998,10.0
1900-01-01 10:34:56,40.0,26.750899999999998,10.0
1900-01-01 10:34:57,40.0,26.750899999999998,10.0
1900-01-01 10:34:57,40.0,26.750899999999998,10.0
1900-01-01 10:34:57,40.0,26.750899999999998,10.0
1900-01-01 10:34:58,40.0,26.750899999999998,10.0
1900-01-01 10:34:58,40.0,27.073199999999996,10.0
1900-01-01 10:34:59,40.0,26.750899999999998,10.0
1900-01-01 10:34:59,40.0,26.750899999999998,10.0
1900-01-01 10:35:00,40.0,26.750899999999998,10.0
1900-01-01 10:35:00,40.0,26.750899999999998,10.0
1900-01-01 10:35:01,40.0,26.750899999999998,10.0
1900-01-01 10:35:01,40.0,26.750899999999998,10.0
1900-01-01 10:35:02,40.0,26.750899999999998,10.0
1900-01-01 10:35:02,40.0,26.750899999999998,10.0
1900-01-01 10:35:03,40.0,26.750899999999998,10.0
1900-01-01 10:35:03,40.0,26.750899999999998,10.0
1900-01-01 10:35:03,40.0,26.750899999999998,95.07518005371094
1900-01-01 10:35:04,40.0,26.750899999999998,95.0968246459961
1900-01-01 10:35:04,40.0,26.750899999999998,95.109619140625
1900-01-01 10:35:05,40.0,26.750899999999998,95.11373138427734
1900-01-01 10:35:05,40.0,27.073199999999996,95.11280059814453
1900-01-01 10:35:06,40.0,27.073199999999996,94.70126342773438
1900-01-01 10:35:06,40.0,27.073199999999996,94.51124572753906
1900-01-01 10:35:07,40.0,27.3955,94.31241607666016
1900-01-01 10:35:08,40.0,27.3955,93.78878784179688
1900-01-01 10:35:08,40.0,27.717799999999997,93.45372009277344
1900-01-01 10:35:09,40.0,27.717799999999997,92.73467254638672
1900-01-01 10:35:09,40.0,28.0401,92.27318572998047
1900-01-01 10:35:10,40.0,28.0401,91.44621276855469
1900-01-01 10:35:10,40.0,28.362399999999997,90.90336608886719
1900-01-01 10:35:11,40.0,28.362399999999997,90.01451873779297
1900-01-01 10:35:11,40.0,28.6847,89.43193054199219
1900-01-01 10:35:12,40.0,29.006999999999998,88.52033996582031
1900-01-01 10:35:12,40.0,29.006999999999998,87.52848052978516
1900-01-01 10:35:13,40.0,29.329299999999996,86.81388854980469
1900-01-01 10:35:13,40.0,29.6516,85.83911895751953
1900-01-01 10:35:14,40.0,29.6516,84.76286315917969
1900-01-01 10:35:14,40.0,29.973899999999997,83.98574829101562
1900-01-01 10:35:15,40.0,30.2962,82.94913482666016
1900-01-01 10:35:15,40.0,30.2962,81.81646728515625
1900-01-01 10:35:15,40.0,30.618499999999997,81.00304412841797
1900-01-01 10:35:16,40.0,30.940799999999996,79.9130630493164
1900-01-01 10:35:16,40.0,30.940799999999996,78.7606201171875
1900-01-01 10:35:17,40.0,31.263099999999998,77.9256820678711
1900-01-01 10:35:17,40.0,31.585399999999996,76.83702087402344
1900-01-01 10:35:17,40.0,31.9077,75.664794921875
1900-01-01 10:35:18,40.0,31.9077,74.39582061767578
1900-01-01 10:35:18,40.0,32.23,73.51750946044922
1900-01-01 10:35:19,40.0,32.552299999999995,72.3673095703125
1900-01-01 10:35:19,40.0,32.552299999999995,71.1500244140625
1900-01-01 10:35:19,40.0,32.8746,70.28060913085938
1900-01-01 10:35:20,40.0,33.1969,69.119873046875
1900-01-01 10:35:20,40.0,33.5192,67.88257598876953
1900-01-01 10:35:20,40.0,33.5192,66.54035949707031
1900-01-01 10:35:21,40.0,33.841499999999996,65.62323760986328
1900-01-01 10:35:21,40.0,34.163799999999995,64.43191528320312
1900-01-01 10:35:22,40.0,34.163799999999995,63.157127380371094
1900-01-01 10:35:22,40.0,34.4861,62.263572692871094
1900-01-01 10:35:22,40.0,34.8084,61.061824798583984
1900-01-01 10:35:23,40.0,34.8084,59.7646484375
1900-01-01 10:35:23,40.0,35.1307,58.86294174194336
1900-01-01 10:35:24,40.0,35.1307,57.64111328125
1900-01-01 10:35:24,40.0,35.452999999999996,56.829864501953125
1900-01-01 10:35:24,40.0,35.452999999999996,55.644287109375
1900-01-01 10:35:25,40.0,35.775299999999994,54.85845184326172
1900-01-01 10:35:25,40.0,36.0976,53.6822624206543
1900-01-01 10:35:25,40.0,36.0976,52.39651870727539
1900-01-01 10:35:26,40.0,36.4199,51.54156494140625
1900-01-01 10:35:27,40.0,36.4199,50.34520721435547
1900-01-01 10:35:27,40.0,36.7422,49.5803108215332
1900-01-01 10:35:28,40.0,36.7422,48.4146728515625
1900-01-01 10:35:29,40.0,37.386799999999994,47.66536331176758
1900-01-01 10:35:30,40.0,37.386799999999994,45.944820404052734
1900-01-01 10:35:30,40.0,37.386799999999994,44.971065521240234
1900-01-01 10:35:31,40.0,37.7091,44.19255065917969
